id	tier	category	english_cue	expression	anchor	example	sources	note
S1	shared	Structurer et prendre position	The real question is whether…	La vraie question est de savoir si […]	La vraie question est de savoir si	La vraie question est de savoir si Internet pousse vraiment les gens à devenir plus solitaires.	Culture P2; Culture P5; Economie P2; Economie P3; Education P1; Education P3; Environnement P2; Environnement P3; Famille P1; Famille P3; Santé P2; Santé P3; Technologie P1; Technologie P4; Technologie P7	Neutral reformulation; indirect question, no inversion.
S2	shared	Structurer et prendre position	The question is how far…	La vraie question est de savoir jusqu'où […]	La vraie question est de savoir jusqu'où	La vraie question est de savoir jusqu'où l'État peut, et doit, organiser et encadrer la vie en société.	Culture P1; Culture P3; Economie P5	Frames degree or limits precisely.
S3	shared	Structurer et prendre position	What can … bring?	La vraie question est de savoir ce que […] peut apporter	La vraie question est de savoir ce que	La vraie question est de savoir ce que le voyage en solitaire peut apporter, et s'il s'agit d'un vrai choix positif ou simplement d'un cas particulier.	Culture P21	Useful for benefit-based prompts.
S4	shared	Structurer et prendre position	In my view, yes…	À mon avis, oui, […]	À mon avis, oui	À mon avis, oui, il est très important de favoriser le bien-être au travail.	Culture P2; Culture P5; Economie P2; Economie P6; Economie P7; Education P2; Education P3; Education P6; Education P7; Education P23; Environnement P2; Environnement P3; Famille P4; Santé P1; Technologie P13	Direct, oral-friendly position.
S5	shared	Structurer et prendre position	I broadly agree…	je suis plutôt d'accord : […]	je suis plutôt d'accord	À mon avis, oui, je suis plutôt d'accord : travailler et étudier en même temps est une situation vraiment difficile, même si ce n'est pas impossible.	Culture P3; Environnement P6; Santé P3; Santé P7	Soft agreement leaves room for nuance.
S6	shared	Structurer et prendre position	I do not entirely agree…	je ne suis pas totalement d'accord : […]	je ne suis pas totalement d'accord	À mon avis, non, je ne suis pas totalement d'accord : la voiture reste très utile, mais elle n'est pas indispensable pour tout le monde.	Environnement P5; Famille P7; Famille P10; Santé P23	Diplomatic partial disagreement.
S7	shared	Structurer et prendre position	I take a fairly critical view of…	je porte un regard plutôt critique sur […]	je porte un regard plutôt critique sur	À mon avis, je porte un regard plutôt critique sur ce phénomène, même si je peux comprendre certains cas individuels.	Santé P9; Santé P24	Evaluative without sounding categorical.
S8	shared	Structurer et prendre position	Personally, I prefer… because…	Personnellement, je préfère […], parce que […]	Personnellement, je préfère	Personnellement, je préfère Internet, parce qu'il me permet de m'informer vite et de comparer facilement plusieurs sources.	Technologie P21; Technologie P24	Strong personal-choice frame.
S9	shared	Structurer et prendre position	My first point is…	Je pense d'abord que […]	Je pense d'abord que	Je pense d'abord que la notoriété, en elle-même, ne donne aucune compétence politique.	Culture P12; Culture P15; Culture P26; Culture P33; Culture P35; Economie P2; Economie P6; Economie P16; Education P3; Education P7; Environnement P2; Famille P2; Santé P4; Santé P22; Technologie P6	Introduces argument one naturally.
S10	shared	Structurer et prendre position	Secondly, I think…	Ensuite, je pense que […]	Ensuite, je pense que	Ensuite, je pense que ces voyages profitent en réalité à très peu de personnes.	Culture P20; Culture P27; Economie P1; Economie P2; Education P1; Education P2; Environnement P2; Environnement P3; Famille P2; Famille P3; Santé P3; Santé P4; Technologie P2; Technologie P17; Technologie P18	Clear oral sequencing.
S11	shared	Structurer et prendre position	Finally, I think…	Enfin, je pense que […]	Enfin, je pense que	Enfin, je pense que cet équilibre dépend aussi des choix des consommateurs.	Culture P15; Culture P16; Economie P1; Economie P2; Education P1; Education P2; Environnement P1; Environnement P2; Environnement P14; Famille P1; Famille P2; Santé P1; Santé P2; Technologie P1; Technologie P2	Signals final argument.
S12	shared	Structurer et prendre position	Take the example of…	Prenons l'exemple de […]	Prenons l'exemple d'enfants	Prenons l'exemple d'enfants qui visitent un zoo lors d'une sortie scolaire : beaucoup y découvrent leur intérêt pour les animaux et pour la nature.	Culture P10; Culture P32; Environnement P2	Smooth transition from claim to evidence.
S13	shared	Structurer et prendre position	In other words…	Autrement dit, […]	Autrement dit	Autrement dit, les liens avec les habitants doivent compléter ce soutien, pas l'effacer.	Culture P24; Culture P28	Concise reformulation or clarification.
S14	shared	Structurer et prendre position	The issue is less X than Y	La vraie question est donc moins « […] » que « […] »	La vraie question est donc moins «	La vraie question est donc moins « la télévision est-elle utile ? » que « comment et combien je la regarde ? ».	Culture P12	Excellent reframing of a false binary.
